created_at,text,RT
2021/12/11_08:46:55,12/11(土)④☃️おはようございます❄️️服を決めてからメイクするかメイクしてから服決めるかいつも悩む😵‍💫😵‍💫😵‍💫鬼激レアな早朝配信来てくれた方ありがとうございました│˶˙ᵕ˙˶)꜆☃️❄️️… https://t.co/JUvIQscfz1,82
2021/12/11_08:46:43,12/11(土)③☃️今日の飯テロ❄️️雪見だいふく すいーとぽてと味美味しいって聞いたので買った🍠🍨ちょっと酔ってたので顔が赤いですね😌😌😌ハート型らしい。かわゆい⸜(* ॑꒳ ॑*  )⸝☃️❄️️… https://t.co/dqmUjUmZkr,82
2021/12/11_08:46:33,12/11(土)②☃️ぷちクリスマス❄️️毎年ちょっとずつなんか増えてる気がする👀🎄今年は何増やそうかな（笑）サンタさん来るのだろうか🎅🏻みんなは何ほしい？？？🤔☃️❄️️#MODECON #Xmas… https://t.co/gBejHpih4W,82
2021/12/11_08:46:15,12/11(土)①☃️みさぽち投票所🗳❄️️今日ﾊﾞﾀﾊﾞﾀなので早めにツイートします🙏🏻やっぱ髪暗い方が落ち着くねん✌🏻️🤍ピースが陰キャすぎる件について。今日もぽちお願いします⋆͛📢⋆… https://t.co/L7ukVqonKs,84
2021/12/10_16:24:52,12/10(金)⑤☃️1日1いっぬ❄️️こうやって代わりに授業受けてくんないかなあ。犬と交代したいって日あるよね🤣そしたら私後ろのベッドで寝れるのに😴 🛏️ (？)☃️❄️️#MODECON #ミクチャ… https://t.co/HAAYjQOcBV,86
2021/12/10_16:24:42,12/10(金)④☃️今日の飯テロ❄️️甘いものばっかだな私（笑）ビアードパパのシュークリーム🥴クッキーシューが1番すきです。生クリームよりカスタード派です。同志いるー？？٩( ᐛ )( ᐖ )۶☃️❄️️… https://t.co/xIvHCRcjfQ,86
2021/12/10_16:24:34,12/10(金)③☃️配信予告❄️️10日~17日ver.🤞🏻めちゃめちゃ暫定的です😵‍💫全然変わったらごめんなさい（笑）終わり決めてないとこは長めにやろうかなのお気持ちﾃﾞｽ😯まだ2次だけどレベル高い😅気緩… https://t.co/63ygCzOwur,86
2021/12/10_16:23:42,12/10(金)②☃️デートする~?❄️️彼氏目線動画ってやつ🥴🥴先月友達と京都行ったの🤞🏻着物ﾃﾝｼｮﾝあがるよね👘🤍ずーっと笑ってました😆やっぱ食べてる時が幸せそう（笑）☃️❄️️#MODECON… https://t.co/G3CM7wrneC,82
2021/12/10_16:23:16,12/10(金)①☃️みさぽち投票所🗳❄️️やっぱこれくらいの前髪が良きだな…切りすぎた😵‍💫そろそろ投票飽きてきてないですか🤣ちなみに私は死ぬほど飽き性です（笑）毎日報告ありがとう🥲今日もぽちっと👇🏻… https://t.co/ShDW0tfNMR,81
2021/12/09_16:16:23,12/9(木)⑤☃️1日1いっぬ❄️️めっずらしい2ショット✌🏻PCポチポチしてたら朝5時に遊べと言われたので📷このあやめ盛れてるなずる😮‍💨☃️❄️️#MODECON #ミクチャ #いぬすたぐらむ… https://t.co/Mrt8RXvBc3,102
2021/12/09_16:16:14,12/9(木)④☃️推ししか🥺👊🏻❄️️専らコムドットのｵﾀｸしてます🤡あと8万人で悲願の300万人なので良かったらyoutubeチャンネル登録してくださいな😵‍💫私と仲良くなれます😉(?)☃️❄️️… https://t.co/JzQolHCaEh,98
2021/12/09_16:16:04,12/9(木)③☃️今日の飯テロ❄️️無性に甘いもの食べたい時ない？？ってことで甘いものセット食べました😋☕️ホワイトティラミス🍰クッキーシューブレッドサンマルク結構好きなんよね🥴激甘党の方はぜひ(๑⃙⃘ˊ꒳… https://t.co/sboMHtnHK9,99
2021/12/09_16:15:55,12/9(木)②☃️結局服は白か黒❄️️最近配信で服褒められるので嬉しいわーん･֊･なんか前髪横だけ緑に見える😯🍀ま、おしゃれって事でいっか😉今日課題やってから配信つけるのでちょっと前後するかもです🙇‍♀️🙏🏻… https://t.co/w5Xxznxtlp,105
2021/12/09_16:15:46,12/9(木)①☃️みさぽち投票所🗳❄️️Instagramのトプ画新しくしたのでTwitterも変えたいけどRT審査終わってからにした方がいいかなと葛藤なう😯イルミデートしたいなあ💭… https://t.co/g9EE5K439b,97
2021/12/08_18:02:32,12/8(水)⑤☃️1日1いっぬ❄️️上機嫌のあやめっちこの頃ちょっと丸々しすぎ…🙊💭ちなみに小さい時に悪戯しすぎて歯が何本か無いですこの子😇☃️❄️️#MODECON #ミクチャ #いぬのいる暮らし… https://t.co/7riSeCK3Ao,108
2021/12/08_18:02:07,12/8(水)④☃️何パする?❄️️菓子パもしたいし鍋パもしたいしピザパもしたいしたこパもしたいです！！！٩(｡•ω•｡*)و ♡(*｣´□`)｣&lt;ﾀﾞﾚｶｰあと何あるかな🤔💭☃️❄️️#MODECON… https://t.co/Diyhbai5tc,92
2021/12/08_18:01:50,12/8(水)③☃️ﾌﾟﾚｾﾞﾝﾄ❄️️遅くなったんですがほんとに沢山誕生日祝って送ってくださってありがとうございましたあああ😵‍💫😵‍💫😵‍💫🤍全部大事に使います🥲🙏🏻(使ってます)ところで前髪ありかなしかどっちが… https://t.co/WjHGG9WQ8N,94
2021/12/08_18:01:21,12/8(水)②☃️スタバ❄️️やっと飲めた🤤ホワイトチョコ信者です🍫🙋‍♀️冬いつも悩んでフラペチーノにして寒くて後悔する（笑）くまちゃん可愛くて付けちゃうよね〜〜🧸🤍☃️❄️️#MODECON #ミクチャ… https://t.co/vlLeZzqvy0,94
2021/12/08_18:01:01,12/8(水)①☃️みさぽち投票所🗳❄️️今日で10日目❕あらためて毎日5投稿って大変だ（笑）毎日RT投票してくれる方々のおかげで頑張れてます…!😵‍💫今日もぽちっと👇🏻🙇‍♀️🙏🏻… https://t.co/8hrWdj3tY0,92
2021/12/07_16:10:45,"12/7(火)⑤☃️1日1いっぬ❄️️勝手に人の服をひっぱりだして下敷きにして寝るのがすきらしいです。冬は寒いのでダウンがお気に入りらしい。ｵｲｵｷﾛ( 　'-' )ノ)`-' )""☃️❄️️#MODECON… https://t.co/P5nJouEXZd",112
2021/12/07_16:10:34,12/7(火)④☃️写真下手なん?❄️️イヤーカフ見せたいわたし。青と黒って合うね🧐青系統の服全然持ってないなあ🤦‍♀️次買い物行く頃には髪色変わってるか🤔笑☃️❄️️#MODECON #ミクチャ #インナー… https://t.co/Ro2xYru3KR,105
